name,link,ingredients,steps,nutrition,image_url
Strawberry Orange Banana Smoothie,https://www.allrecipes.com/recipe/215163/strawberry-orange-banana-smoothie/,"{'quantity': '1', 'unit': 'cup', 'name': 'fresh strawberries'}, {'quantity': '¾', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '1', 'unit': '', 'name': 'ripe banana'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice cubes, or as needed'}","Blend strawberries, orange juice, banana, and ice in a blender until smooth and frothy.","calories: 238, fat: 1g, carbs: 58g, protein: 4g, servings: 1",https://www.allrecipes.com/thmb/Hu0ENnOtLbhzskFxtlsEkkPoDNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3926318-ee7aaacd2b3244b1a1efcc57361b32b7.jpg
Healthy Chocolate Smoothie,https://www.allrecipes.com/recipe/245061/healthy-chocolate-smoothie/,"{'quantity': '2', 'unit': '', 'name': 'very ripe bananas'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '6', 'unit': '', 'name': 'ice cubes'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Combine bananas, milk, ice cubes, cocoa powder, peanut butter, and vanilla in a blender; blend on high speed until smooth. Pour into 2 glasses.","calories: 229, fat: 7g, carbs: 37g, protein: 8g, servings: 2",https://www.allrecipes.com/thmb/MMSiRIHhQhOeYGV-cFsMnlCP4XM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8001597-2c200d7af80d4b06a73c488b9b2ab507.jpg
Healthy Berry and Spinach Smoothie,https://www.allrecipes.com/recipe/240726/healthy-berry-and-spinach-smoothie/,"{'quantity': '2', 'unit': 'cups', 'name': 'frozen berries'}, {'quantity': '1', 'unit': 'cup', 'name': 'plain yogurt'}, {'quantity': '½', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh spinach, or to taste'}, {'quantity': '5', 'unit': '', 'name': 'strawberries'}","Blend berries, yogurt, orange juice, spinach, and strawberries together in a blender until smooth.","calories: 88, fat: 1g, carbs: 17g, protein: 4g, servings: 4",https://www.allrecipes.com/thmb/ts3cwVyRFvPNquHxmTbNgHW8PB4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1935924-32b1d9b6057f48149ecd94b9fb7df81c.jpg
Kale and Banana Smoothie,https://www.allrecipes.com/recipe/173730/kale-and-banana-smoothie/,"{'quantity': '2', 'unit': 'cups', 'name': 'chopped kale'}, {'quantity': '1', 'unit': '', 'name': 'banana'}, {'quantity': '½', 'unit': 'cup', 'name': 'light unsweetened soy milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'flax seeds'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'maple syrup'}","Gather all ingredients.. Place kale, banana, soy milk, flax seeds, and maple syrup into a blender.. Cover and purée until smooth.. Serve over ice.","calories: 311, fat: 7g, carbs: 57g, protein: 12g, servings: 1",https://www.allrecipes.com/thmb/7wO87qHAxcxu1Zu_9iVgBa3m_P0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/173730-Kale-Banana-Smoothie-ddmfs-4x3-081-18208f62d6554b07befc0ca7e69a83fc.jpg
20 Breakfast Smoothie Recipes to Start Your Day the Healthy Way,https://www.allrecipes.com/gallery/breakfast-smoothie-recipes/,,,,https://www.allrecipes.com/thmb/kHDdjmGmVtnk74IigVv4XuZuKw0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2271701_Healthy-Blueberry-Breakfast-Smoothie_Photo-by-LilSnoo-be79875dc3f04afb987dca2ebe43031e.jpg
"Banana, Avocado, and Spinach Smoothie",https://www.allrecipes.com/recipe/241365/banana-avocado-and-spinach-smoothie/,"{'quantity': '1', 'unit': '', 'name': 'banana, sliced'}, {'quantity': '½', 'unit': '', 'name': 'avocado, peeled and sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'fresh spinach'}, {'quantity': '½', 'unit': 'cup', 'name': '1% milk'}, {'quantity': '6', 'unit': '', 'name': 'ice cubes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Blend banana, avocado, spinach, milk, ice cubes, honey, and vanilla together in a blender until smooth.","calories: 190, fat: 8g, carbs: 28g, protein: 4g, servings: 2",https://www.allrecipes.com/thmb/0MIU11-x-1QbuV0Ek1nScg-CyGs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4481367-banana-avocado-and-spinach-smoothie-Yoly-4x3-1-e2a8692fc0bc4505a6eb2a88a7f744bc.jpg
The Best Post-Workout Shake,https://www.allrecipes.com/recipe/245163/the-best-post-workout-shake/,"{'quantity': '1', 'unit': 'scoop', 'name': 'whey protein powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'flax seed meal'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'brown sugar (Optional)'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsweetened almond milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen mixed berries'}, {'quantity': '1', 'unit': 'medium', 'name': 'banana'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'smooth peanut butter'}","Layer protein powder, flax meal, cocoa powder, and brown sugar in a blender. Add almond milk, frozen berries, banana, and peanut butter. Blend until smooth, about 1 minute.","calories: 493, fat: 17g, carbs: 67g, protein: 29g, servings: 1",https://www.allrecipes.com/thmb/eYVta0HddITF7OqI8YQilBIVsZ0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7189851-af5a953feac54490a59cd0485903646b.jpg
Kiwi Strawberry Smoothie,https://www.allrecipes.com/recipe/77035/kiwi-strawberry-smoothie/,"{'quantity': '¾', 'unit': 'cup', 'name': 'pineapple and orange juice blend'}, {'quantity': '½', 'unit': 'cup', 'name': 'vanilla frozen yogurt'}, {'quantity': '1', 'unit': '', 'name': 'banana'}, {'quantity': '6', 'unit': '', 'name': 'strawberries'}, {'quantity': '1', 'unit': '', 'name': 'kiwi'}","Place juice blend, frozen yogurt, banana, strawberries, and kiwi into a blender. Blend until smooth and pour into 2 glasses.","calories: 204, fat: 1g, carbs: 48g, protein: 4g, servings: 2",https://www.allrecipes.com/thmb/SbUs5BzTq4JCczK2b7gPUuYv-dg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/407631-7d777e17225940efb59582bd628e6da0.jpg
20 Easy Smoothie Recipes With 3 Ingredients or Less,https://www.allrecipes.com/gallery/easy-smoothie-recipes/,,,,https://www.allrecipes.com/thmb/QUrEfQ8MBEJQD02SYiO6nbcPo4w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Power-Packed-Smoothie-by-Buckwheat-Queen-db5e26070fd04fb9a18bd0983cbca10d.jpg
Orange Banana Smoothie,https://www.allrecipes.com/recipe/32448/orange-banana-smoothie/,"{'quantity': '1', 'unit': 'cup', 'name': 'cold milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'vanilla fat-free yogurt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '2', 'unit': 'medium', 'name': 'oranges, peeled and segmented'}, {'quantity': '1', 'unit': 'medium', 'name': 'banana'}, {'quantity': '4', 'unit': 'cubes', 'name': 'ice'}","Gather all ingredients.. Combine milk, yogurt, sugar, and salt in a blender. Add oranges and banana and blend for about 1 minute. Add ice and blend until smooth.. Serve and enjoy!","calories: 340, fat: 3g, carbs: 74g, protein: 9g, servings: 2",https://www.allrecipes.com/thmb/jb8cZOBiddq0wWd2FkTTakqyEwA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RM-32448-orange-banana-smoothie-ddmfs-3x4-13659-02f05c86300e471dac660e330fb7def8.jpg
