name,link,ingredients,steps,nutrition
Watermelon Mojitos,https://www.allrecipes.com/recipe/272987/watermelon-mojitos/,"{'quantity': '6', 'unit': 'cups', 'name': 'cubed seedless watermelon'}, {'quantity': '50', 'unit': '', 'name': 'fresh mint leaves'}, {'quantity': '5', 'unit': '', 'name': 'limes, juiced'}, {'quantity': '1', 'unit': 'cup', 'name': 'white rum'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'simple syrup'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice cubes, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'club soda, or as needed'}","Place watermelon cubes into a blender and blend until smooth. Pour into a bowl through a mesh strainer to remove pulp. Measure 2 cups strained watermelon juice and set aside.. Place mint leaves into the bottom of a pitcher. Pour in 1/2 of the watermelon juice; muddle mint leaves with a muddler or the bottom of a wooden spoon.. Pour in remaining watermelon juice, lime juice, rum, and simple syrup. Fill the pitcher with ice and top with club soda. Serve.","calories: 250, fat: 0g, carbs: 34g, protein: 1g, servings: 4"
Captain's Mojito,https://www.allrecipes.com/recipe/216450/captains-mojito/,"{'quantity': '5', 'unit': '', 'name': 'mint leaves'}, {'quantity': '3', 'unit': 'wedges', 'name': 'lime'}, {'quantity': '1', 'unit': 'cup', 'name': 'crushed ice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'simple syrup'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'lime juice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': ""spiced rum (such as Captain Morgan's®)""}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'cranberry juice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'soda water'}","Place mint leaves, lime wedges, and ice into a cocktail shaker; mash well with a cocktail muddler. Pour in simple syrup, lime juice, rum, cranberry juice, and soda water. Cover and shake until the outside of the shaker has frosted. Strain into a chilled glass to serve.","calories: 180, fat: 0g, carbs: 14g, protein: 0g, servings: 1"
Fresh Raspberry Mojito,https://www.allrecipes.com/recipe/236887/fresh-raspberry-mojito/,"{'quantity': '4', 'unit': None, 'name': 'fresh mint leaves'}, {'quantity': '4', 'unit': None, 'name': 'fresh raspberries'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'simple syrup'}, {'quantity': '½', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': None, 'unit': None, 'name': 'ice'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'raspberry-flavored vodka'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'silver rum'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'club soda'}","Muddle mint leaves, raspberries, simple syrup, and lime juice together in a shaker. Fill the shaker with ice and add vodka and rum; cover and shake until chilled. Pour entire contents of shaker into a Collins glass and top with club soda.","calories: 174, fat: 0g, carbs: 12g, protein: 0g, servings: 1"
Mojito Perfecto,https://www.allrecipes.com/recipe/229643/mojito-perfecto/,"{'quantity': '6', 'unit': '', 'name': 'mint leaves'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'lime, cut into 6 wedges'}, {'quantity': '2', 'unit': '(1.5 fluid ounce) jiggers', 'name': 'lemon-flavored rum'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice cubes, or as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'carbonated water, or as needed'}","Put 3 mint leaves and 2 teaspoons sugar into each of 2 glass tumblers; vigorously stir sugar and mint together, crushing mint with the back of a spoon to release oils.. Add 3 lime wedges to each glass; again stir vigorously to release some lime juice.. Pour 1 jigger rum into each glass, then fill glasses with ice cubes. Top with carbonated water; stir.","calories: 139, fat: 0g, carbs: 12g, protein: 0g, servings: 2"
Good Mojito,https://www.allrecipes.com/recipe/215615/good-mojito/,"{'quantity': '½', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '5', 'unit': '', 'name': 'mint leaves'}, {'quantity': '', 'unit': '', 'name': 'ice cubes'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'white rum'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'soda water'}, {'quantity': '1', 'unit': '', 'name': 'lime wedge'}","Muddle the lime juice, sugar, and mint leaves together in the bottom of a cocktail glass until the mint has broken down a bit, about 1 minute. Fill the glass with ice cubes. Add the rum and soda water over the ice. Pour the mixture back and forth from from the glass to another glass to mix. Garnish with the lime wedge and enjoy.","calories: 188, fat: 0g, carbs: 17g, protein: 0g, servings: 1"
Guava Mojito,https://www.allrecipes.com/recipe/247296/guava-mojito/,"{'quantity': '', 'unit': '', 'name': 'ice'}, {'quantity': '4', 'unit': 'sprigs', 'name': 'fresh mint, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'fluid ounces', 'name': 'passion fruit-flavored rum'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '3', 'unit': 'fluid ounces', 'name': 'unsweetened guava nectar'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'club soda, or as needed'}","Fill a glass with ice.. Muddle 3 sprigs mint and sugar together in a cocktail shaker; add ice, rum, lime juice, and guava nectar. Cover and shake 10 times. Strain drink into glass filled with ice; add club soda and garnish with 1 mint sprig.","calories: 291, fat: 0g, carbs: 26g, protein: 1g, servings: 1"
Summertime Strawberry Mojito,https://www.allrecipes.com/recipe/265114/summertime-strawberry-mojito/,"{'quantity': '5', 'unit': '', 'name': 'limes'}, {'quantity': '1', 'unit': 'bunch', 'name': 'mint sprigs, plus more for garnish'}, {'quantity': '1', 'unit': 'cup', 'name': 'white rum'}, {'quantity': '½', 'unit': 'cup', 'name': 'strawberry syrup (such as Torani®)'}, {'quantity': '2', 'unit': 'cups', 'name': 'chilled club soda'}, {'quantity': '6', 'unit': 'cups', 'name': 'ice cubes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Sugar for rimming glasses'}, {'quantity': '6', 'unit': '', 'name': 'strawberries, for garnish'}","Juice 4 limes, yielding about 1/2 cup juice, and cut remaining lime into 6 wedges.. Grasp mint sprig stems and slap leaves against a work surface to help release their oil; transfer to a sturdy glass pitcher. Stir in lime juice, rum, and strawberry syrup. Add club soda.. Spread 1/4 to 1/2 inch sugar on a small, shallow plate. Run a lime wedge around the rim of each glass, then dip glass into sugar. Fill with ice. Pour in mojito mixture. Garnish with mint sprigs and strawberries.","calories: 184, fat: 0g, carbs: 26g, protein: 1g, servings: 6"
Bubbly Mojito,https://www.allrecipes.com/recipe/241615/bubbly-mojito/,"{'quantity': '10', 'unit': '', 'name': 'fresh mint leaves'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'white rum'}, {'quantity': '½', 'unit': '', 'name': 'lime, quartered'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'sparkling white wine'}, {'quantity': '¼', 'unit': 'cup', 'name': 'crushed ice'}",Place mint leaves and sugar in the bottom of a collins glass. Crush mint using a muddler. Add rum and lime slices to glass and muddle again. Top with sparkling wine and crushed ice.,"calories: 269, fat: 0g, carbs: 15g, protein: 0g, servings: 1"
Dragon Fruit Mojito,https://www.allrecipes.com/recipe/274341/dragon-fruit-mojito/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '16', 'unit': 'leaves', 'name': 'fresh mint'}, {'quantity': '1', 'unit': 'cup', 'name': 'light rum'}, {'quantity': '1', 'unit': '', 'name': 'dragon fruit, halved and flesh removed'}, {'quantity': '1', 'unit': 'liter', 'name': 'chilled club soda'}",Mix 2 tablespoons plus 2 teaspoons sugar with mint in the bottom of a highball glass.. Combine rum and dragon fruit flesh in a blender; blend until smooth. Pour rum mixture over the muddled mint mixture. Stir to incorporate.. Divide mixture between 4 double old-fashioned glasses. Top each drink with equal amounts of club soda.,"calories: 182, fat: 0g, carbs: 14g, protein: 0g, servings: 4"
Minty Mango Mojito,https://www.allrecipes.com/recipe/246896/minty-mango-mojito/,"{'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '12', 'unit': '', 'name': 'fresh mint leaves, or more to taste'}, {'quantity': '⅛', 'unit': '', 'name': 'lime'}, {'quantity': '12', 'unit': '', 'name': 'fresh mint leaves, or more to taste'}, {'quantity': '⅛', 'unit': '', 'name': 'fresh mango, peeled and cubed, or more to taste'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'coconut-flavored rum, or more to taste'}, {'quantity': '', 'unit': '', 'name': 'ice'}, {'quantity': '', 'unit': '', 'name': 'club soda, or as needed'}","Combine water and sugar in a small pot over medium heat. Whisk until sugar dissolves in the water. Add 12 mint leaves. Bring to a boil and whisk for 1 minute. Remove from heat and let cool, about 30 minutes.. Place lime and 12 mint leaves in a glass; mash together with a muddler to extract flavors. Add fresh mango; muddle until combined. Stir in 2 tablespoons of the mint simple syrup. Stir in coconut rum. Fill glass with ice and top with club soda. Stir 1 more time to distribute flavors.","calories: 906, fat: 4g, carbs: 213g, protein: 2g, servings: 1"
The Mojito Cocktail,https://www.allrecipes.com/recipe/222418/the-mojito-cocktail/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'sprigs', 'name': 'fresh mint'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'club soda'}, {'quantity': '1', 'unit': '', 'name': 'lime, halved'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'light rum'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'ice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'club soda'}, {'quantity': '1', 'unit': 'sprig', 'name': 'fresh mint'}","Muddle sugar and mint with soda water in pint glass. Squeeze both halves of lime into the glass leaving one hull in the mixture. Add rum, stir, and fill with ice. Top with club soda.. Garnish with a mint sprig.","calories: 250, fat: 0g, carbs: 33g, protein: 1g, servings: 1"
Mojiteas,https://www.allrecipes.com/recipe/259166/mojiteas/,"{'quantity': '4', 'unit': '', 'name': 'tea bags'}, {'quantity': '12', 'unit': 'sprigs', 'name': 'fresh mint'}, {'quantity': '3', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '3', 'unit': 'cups', 'name': 'cold water, or more to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'light rum, or more to taste'}","Place tea bags and mint sprigs into a large pitcher. Pour in boiling water; steep for 8 to 10 minutes. Remove tea bags and mint; before discarding, squeeze excess tea back into pitcher. Stir in sugar until dissolved; add orange juice and lemon juice. Pour in cold water and rum. Refrigerate at least 4 hours to overnight.","calories: 178, fat: 0g, carbs: 29g, protein: 0g, servings: 8"
No-Sweat Mojito,https://www.allrecipes.com/recipe/283557/no-sweat-mojito/,"{'quantity': '6', 'unit': 'sprigs', 'name': 'fresh mint, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'ounces', 'name': 'white rum'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'lime-flavored seltzer water'}",Muddle 4 mint sprigs and sugar together in a mixing glass until crushed.. Add rum and stir to dissolve sugar. Strain into 2 ice-filled Collins or rocks glasses. Top with lime-flavored seltzer and garnish each glass with a remaining mint sprig.,"calories: 107, fat: 0g, carbs: 3g, protein: 0g, servings: 2"
Fruity Mojitos,https://www.allrecipes.com/recipe/247297/fruity-mojitos/,"{'quantity': '5', 'unit': 'cups', 'name': 'spiced rum'}, {'quantity': '5', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '5', 'unit': 'cups', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'slightly crushed fresh mint leaves, or more to taste'}, {'quantity': '5', 'unit': '', 'name': 'lemons, quartered'}, {'quantity': '5', 'unit': '', 'name': 'limes, quartered'}, {'quantity': '5', 'unit': '', 'name': 'oranges, quartered'}, {'quantity': '4', 'unit': '(2 liter) bottles', 'name': 'lemon-lime carbonated beverage (such as 7Up®)'}","Combine rum, sugar, and water in a larger container or 3-gallon cooler or drink dispenser until sugar is dissolved. Add mint, lemons, limes, and oranges and mix well. Allow flavors to combine for about 30 minutes. Pour lemon-lime beverage into rum-fruit mixture and stir to combine.","calories: 334, fat: 0g, carbs: 64g, protein: 0g, servings: 30"
