name,link,ingredients,steps,nutrition
Apple Cider Margarita,https://www.allrecipes.com/apple-cider-margarita-recipe-7686376,"{'quantity': '1/2', 'unit': 'teaspoon', 'name': 'honey, or as needed'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice cubes, or as needed'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'apple cider'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'tequila'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'whiskey'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butterscotch schnapps'}, {'quantity': '2', 'unit': None, 'name': 'limes'}, {'quantity': '6', 'unit': 'slices', 'name': 'apple, for garnish'}","Moisten the rim of two margarita glasses with honey. Stir cinnamon and sugar together on a plate. Lightly dip the moistened rim of each glass into cinnamon and sugar mixture.. Fill a cocktail shaker with fresh ice. Add apple cider, tequila, cinnamon whiskey, and butterscotch schnapps. Squeeze 2 limes into the shaker. Cover and shake vigorously until the outside of the shaker has frosted.. Fill 2 glasses with ice; strain mixture into glasses. Garnish with apple slices.","calories: 434, fat: 1g, carbs: 74g, protein: 2g, servings: 2"
Passion Fruit Margarita,https://www.allrecipes.com/passion-fruit-margarita-recipe-7499354,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'salt, or as needed'}, {'quantity': '1', 'unit': None, 'name': 'lime wedge'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'ice, divided, or as needed'}, {'quantity': '5', 'unit': 'ounces', 'name': 'passion fruit juice'}, {'quantity': '2', 'unit': 'ounces', 'name': 'tequila'}, {'quantity': '3/4', 'unit': 'ounces', 'name': 'triple sec'}, {'quantity': '3/4', 'unit': 'ounces', 'name': 'lime juice'}","Sprinkle salt onto a plate. Moisten the rim of a glass with lime wedge and press the moistened rim into the salt; fill the glass with ice.. Fill a cocktail shaker half-full with ice. Add passion fruit juice, tequila, triple sec, and lime juice to the shaker. Seal and shake vigorously until outside is frosted, 10 to 15 seconds. Strain mixture into the glass and stir. Garnish with lime wedge.","calories: 298, fat: 0g, carbs: 37g, protein: 2g, servings: 1"
Guava Margarita,https://www.allrecipes.com/guava-margarita-recipe-7495284,"{'quantity': '3', 'unit': 'cups', 'name': 'ice, or as needed'}, {'quantity': '3', 'unit': None, 'name': 'lime wedges'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salt, or as needed'}, {'quantity': '1 (11.3', 'unit': 'ounce) can', 'name': 'guava nectar'}, {'quantity': '4', 'unit': 'ounces', 'name': 'tequila'}, {'quantity': '1 1/2', 'unit': None, 'name': 'sec'}, {'quantity': '1 1/2', 'unit': 'ounces', 'name': 'lime juice'}","Sprinkle salt onto a plate. Moisten the rim of 2 glasses with a lime wedge. Press the moistened rim into the salt. Fill glasses with ice. Divide guava nectar between each glass.. Fill a cocktail shaker half-full with ice. Add tequila, triple sec, and lime juice to the shaker. Seal and shake vigorously until outside is frosted, 10 to 15 seconds. Strain mixture evenly between the glasses and stir. Garnish with remaining lime wedges.","calories: 323, fat: 0g, carbs: 45g, protein: 1g, servings: 2"
Spicy Watermelon Margarita,https://www.allrecipes.com/recipe/264845/spicy-watermelon-margarita/,"{'quantity': '2', 'unit': 'cups', 'name': 'seedless watermelon cubes'}, {'quantity': '1', 'unit': '', 'name': 'lime wedge'}, {'quantity': '1', 'unit': 'pinch', 'name': 'kosher salt'}, {'quantity': '', 'unit': '', 'name': 'ice cubes'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'silver tequila'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'orange-flavored liqueur (such as Cointreau)'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '1', 'unit': 'thin slice', 'name': 'jalapeño slice, plus more for garnish'}, {'quantity': '1', 'unit': '', 'name': 'watermelon wedge'}","Puree watermelon in a blender. Wipe the rim of a margarita glass with a lime wedge; dip rim in salt.. In a cocktail shaker half-filled with ice, add tequila, orange liqueur, lime juice, jalapeño, and 2 ounces of the watermelon puree. Shake until very cold.. Strain into prepared glass. Garnish with watermelon wedge and jalapeño slice.","calories: 382, fat: 1g, carbs: 64g, protein: 4g, servings: 1"
Quick and Easy Mango Margaritas,https://www.allrecipes.com/recipe/255001/quick-and-easy-mango-margaritas/,"{'quantity': '2', 'unit': 'cups', 'name': 'ice'}, {'quantity': '12', 'unit': 'fluid ounces', 'name': 'margarita mix'}, {'quantity': '6', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'mango nectar'}, {'quantity': '1', 'unit': '', 'name': 'lime, halved'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar, or as needed'}","Combine ice, margarita mix, tequila, and mango nectar in a blender; squeeze 1 lime half into the blender. Blend until cocktail is smooth.. Cut remaining lime half into wedges. Pour 1/4 to 1/2 inch of sugar onto a small, shallow plate. Moisten rims of 4 glasses with a wedge of lime, dip the moistened glasses into sugar. Pour cocktail into the prepared glasses.","calories: 208, fat: 0g, carbs: 27g, protein: 0g, servings: 4"
Frozen Margaritas,https://www.allrecipes.com/recipe/32649/margaritas/,"{'quantity': '4', 'unit': 'cups', 'name': 'crushed ice, or as needed'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'frozen limeade concentrate'}, {'quantity': '6', 'unit': 'fluid ounces', 'name': 'tequila'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'triple sec'}","Fill blender with crushed ice. Pour in limeade concentrate, tequila, and triple sec. Blend until smooth. Pour into glasses and serve.",
Kombucha Margarita,https://www.allrecipes.com/recipe/8516214/kombucha-margarita/,"{'quantity': '2', 'unit': 'cups', 'name': 'ice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'silver tequila'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'triple sec (orange-flavored liqueur)'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'freshly squeezed lime juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coarse salt, or as needed'}, {'quantity': '', 'unit': '', 'name': '1 lime wedge'}, {'quantity': '3', 'unit': 'ounces', 'name': 'citrus flavored kombucha, or your favorite flavor'}","Fill a cocktail shaker half-full with ice. Add tequila, triple sec, and lime juice to the shaker. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Sprinkle salt onto a plate. Moisten the rim of a glass with the lime wedge. Press the moistened rim into the salt. Fill glass with ice.. Strain margarita into the glass and top with kombucha. Stir gently and garnish with lime wedge, if desired.","calories: 227, fat: 0g, carbs: 14g, protein: 0g, servings: 1"
Blood Orange Margarita,https://www.allrecipes.com/recipe/8516193/blood-orange-margarita/,"{'quantity': '½', 'unit': 'fluid ounce', 'name': 'tequila (such as Reposado®)'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'triple sec (orange-flavored liqueur)'}, {'quantity': '2 ½', 'unit': 'fluid ounces', 'name': 'blood orange sparkling water'}, {'quantity': '1', 'unit': '', 'name': 'blood orange, juiced'}, {'quantity': '½', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '', 'unit': '', 'name': 'ice cubes'}","Combine tequila, triple sec, sparkling water, blood orange juice, and lime juice in a cocktail shaker. Fill with ice .. Shake well and strain into chilled margarita glasses.","calories: 101, fat: 0g, carbs: 12g, protein: 0g, servings: 2"
Pineapple Margarita,https://www.allrecipes.com/recipe/8496235/pineapple-margarita/,"{'quantity': '2', 'unit': 'cups', 'name': 'ice, or as needed'}, {'quantity': '3', 'unit': 'fluid ounces', 'name': 'pineapple juice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'silver tequila'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'triple sec'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'freshly squeezed lime juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coarse salt, or as needed'}, {'quantity': '', 'unit': '', 'name': '2 lime wedges'}, {'quantity': '', 'unit': '', 'name': 'pineapple wedge for garnish (optional)'}","Fill a cocktail shaker half-full with ice. Add pineapple juice, tequila, triple sec, and lime juice to the shaker. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Sprinkle salt onto a plate. Moisten the rim of a glass with a lime wedge. Press the moistened rim into the salt. Fill glass with ice.. Strain margarita into the glass and garnish with pineapple and lime wedge, if desired.","calories: 266, fat: 0g, carbs: 24g, protein: 1g, servings: 1"
The Perfect Margarita,https://www.allrecipes.com/recipe/264606/the-perfect-margarita/,"{'quantity': '1', 'unit': 'wedge', 'name': 'lime'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coarse sea salt, or as needed'}, {'quantity': '1', 'unit': '', 'name': 'large ice cube'}, {'quantity': '1', 'unit': 'cup', 'name': 'ice cubes, or as needed'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'white tequila'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'triple sec'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'freshly squeezed lime juice'}, {'quantity': '1', 'unit': 'slice', 'name': 'lime'}",,"calories: 321, fat: 0g, carbs: 30g, protein: 1g, servings: 1"
