,foodname,serving,image,calories,protein,fat,carb,sodium,fibre
832,Cinnamon butternut log,12,https://img.taste.com.au/Cu8Z6B28/w720-h480-cfill-q80/taste/2016/11/cinnamon-butternut-log-60939-1.jpeg,689 kj (165cal),1.2g,10.7g,15.2g,113.9mg,0.1g
833,Warm potato salad with cheesy sauce,8,https://img.taste.com.au/U5H9W7ox/w720-h480-cfill-q80/taste/2018/10/warm-potato-salad-with-cheesy-sauce-recipe-143065-2.jpg,1504 kj (359cal),12.9g,19.2g,35.1g,443.3mg,5.1g
834,"Apple, fennel and chicken salad",4,https://img.taste.com.au/AeecgzwJ/w720-h480-cfill-q80/taste/2017/01/apple-fennel-chicken-salad_digiapi_1980x1320-119848-1.jpg,1657 kj (396cal),17.7g,26.1g,24.3g,241.2mg,6.7g
835,Hot and sour salmon wonton tostadas,20,https://img.taste.com.au/1r9niWDe/w720-h480-cfill-q80/taste/2018/02/hot-and-sour-salmon-wonton-tostadas-135406-1.jpg,723 kj (173cal),7g,9g,14g,,2g
836,Toasted salmon burrito,6,https://img.taste.com.au/lYuFAWfN/w720-h480-cfill-q80/taste/2017/10/toasted-salmon-burrito-131647-1.jpg,2337 kj (559cal),38.0g,34.1g,26.6g,1.1g,7.6g
837,Pork pasties with quick pear relish,4,https://img.taste.com.au/rv-T4i67/w720-h480-cfill-q80/taste/2019/03/pork-pasties-with-quick-pear-relish-148082-2.jpg,3527 kj (843cal),28g,71g,120g,1709mg,13g
838,Cumin and turmeric steamed cauliflower,4,https://img.taste.com.au/d1lNFpk6/w720-h480-cfill-q80/taste/2016/11/cumin-and-turmeric-steamed-cauliflower-81582-1.jpeg,163 kj (39cal),3.8g,0.7g,5.4g,32mg,1.7g
839,Saffron &amp; pistachio rice,6,https://img.taste.com.au/xOex7VUD/w720-h480-cfill-q80/taste/2016/11/saffron-pistachio-rice-75054-1.jpeg,2472 kj (591cal),10.7g,19.7g,91.8g,28.9mg,3.3g
840,Potato and anchovy bakes,6,https://img.taste.com.au/FY4PbkNM/w720-h480-cfill-q80/taste/2016/11/potato-and-anchovy-bakes-84215-1.jpeg,2653 kj (634cal),8g,56g,24g,506.23mg,6g
841,Penang chicken &amp; bamboo shoot skewers,4,https://img.taste.com.au/gIEPvtRF/w720-h480-cfill-q80/taste/2016/11/penang-chicken-bamboo-shoot-skewers-25582-1.jpeg,1644 kj (393cal),17.5g,10.1g,57.3g,996.6mg,4.1g
842,Radicchio and rocket salad with balsamic dressing,8,https://img.taste.com.au/8kDt2ws9/w720-h480-cfill-q80/taste/2016/11/radicchio-and-rocket-salad-with-balsamic-dressing-80731-1.jpeg,466 kj (111cal),1.5g,10.7g,3.4g,15.2mg,1.5g
843,Lemon pepper chicken schnitzel with fennel salad,4,https://img.taste.com.au/3ezUGpJS/w720-h480-cfill-q80/taste/2016/11/lemon-pepper-chicken-schnitzel-with-fennel-salad-102536-1.jpeg,2696 kj (644cal),37.9g,19.2g,77.8g,1.2g,7.0g
844,Fried chicken with coleslaw,4,https://img.taste.com.au/du6Zuazm/w720-h480-cfill-q80/taste/2016/11/fried-chicken-with-coleslaw-81480-1.jpeg,3176 kj (759cal),43.6g,32.3g,71.1g,423.3mg,4.4g
845,Spring leek minestrone,4,https://img.taste.com.au/WF4oazq2/w720-h480-cfill-q80/taste/2016/11/spring-leek-minestrone-103865-1.jpeg,1926 kj (460cal),26.4g,27.2g,29.0g,480.2mg,4.7g
846,Cucumber salad,6,https://img.taste.com.au/1KspDPlj/w720-h480-cfill-q80/taste/2016/11/cucumber-salad-83996-1.jpeg,137 kj (33cal),0.7g,1.6g,3.6g,2.2mg,0.6g
847,Apple and almond strudel,4,https://img.taste.com.au/9hR6pjUd/w720-h480-cfill-q80/taste/2016/11/apple-and-almond-strudel-31261-1.jpeg,1205 kj (288cal),5g,4g,53g,210.03mg,6g
848,Spaghetti with prawns and feta,4,https://img.taste.com.au/4zwwfQ2X/w720-h480-cfill-q80/taste/2016/11/spaghetti-with-prawns-and-feta-23846-1.jpeg,3079 kj (736cal),43.5g,27.8g,77.3g,1.3g,4.7g
849,"Tuna, bean and roasted tomato fattoush",4,https://img.taste.com.au/aLOJjiE5/w720-h480-cfill-q80/taste/2016/11/canned-four-bean-mix-108513-2.jpeg,1831 kj (438cal),29.2g,18.7g,40.4g,700.9mg,9.2g
850,Crumbed lamb cutlets with warm pumpkin salad,4,https://img.taste.com.au/pBIOUkBn/w720-h480-cfill-q80/taste/2016/11/crumbed-lamb-cutlets-with-warm-pumpkin-salad-59564-1.jpeg,3431 kj (820cal),51.8g,42.2g,60.8g,642.2mg,9.2g
851,Reduced-fat pork nachos,4,https://img.taste.com.au/4egK0LLk/w720-h480-cfill-q80/taste/2016/11/reduced-fat-pork-nachos-86409-1.jpeg,2169 kj (518cal),35.8g,18.7g,51.1g,835.8mg,10.8g
852,Slow-cooked pork and eggplant cannelloni with crème fraiche,10,https://img.taste.com.au/FVyp95HG/w720-h480-cfill-q80/taste/2016/11/slow-cooked-pork-and-eggplant-cannelloni-with-creme-fraiche-110104-1.jpeg,3593 kj (859cal),49.1g,42.7g,64.4g,434.8mg,3.1g
853,Quick chicken and corn soup,6,https://img.taste.com.au/gZg5s_11/w720-h480-cfill-q80/taste/2016/11/quick-chicken-and-corn-soup-28792-1.jpeg,1015 kj (243cal),13.7g,5.6g,33.6g,253.7mg,2.4g
854,Grilled chicken with Sicilian mint sauce,6,https://img.taste.com.au/4gFp62Nl/w720-h480-cfill-q80/taste/2016/11/grilled-chicken-with-sicilian-mint-sauce-64800-1.jpeg,1258 kj (301cal),27.4g,19.1g,3.7g,57.4mg,0.8g
855,Chargrilled pumpkin and haloumi salad,4,https://img.taste.com.au/20T2xXAV/w720-h480-cfill-q80/taste/2016/11/chargrilled-pumpkin-and-haloumi-salad-76967-1.jpeg,1334 kj (319cal),12.1g,28.1g,11.2g,725.9mg,2.8g
856,"Zucchini, tomato and spinach muffins",6,https://img.taste.com.au/rRX4Ah4y/w720-h480-cfill-q80/taste/2018/02/zucchini-tomato-spinach-muffins-taste-135050-1.jpg,1008 kj (241cal),8g,14g,20g,444mg,2g
857,Spicy beef and broccoli stir-fry over rice noodles,4,https://img.taste.com.au/2y5cNznl/w720-h480-cfill-q80/taste/2016/11/spicy-beef-and-broccoli-stir-fry-over-rice-noodles-106674-1.jpeg,2354 kj (563cal),29.1g,32.8g,37.4g,2.1g,2.6g
858,Coconut French toast,4,https://img.taste.com.au/wIHQ0Ato/w720-h480-cfill-q80/taste/2016/11/coconut-french-toast-85755-1.jpeg,2327 kj (556cal),19.7g,26.9g,63.5g,381.6mg,7.5g
859,Beef stir-fry with quick kimchi,4,https://img.taste.com.au/ViFYNWAd/w720-h480-cfill-q80/taste/2016/11/beef-stir-fry-with-quick-kimchi-95121-1.jpeg,3002 kj (717cal),47.0g,30.5g,60.0g,12.4g,2.6g
860,Creamy tuna and pea pasta bake,6,https://img.taste.com.au/HvHsCFMe/w720-h480-cfill-q80/taste/2016/11/creamy-tuna-and-pea-pasta-bake-80005-1.jpeg,3073 kj (734cal),44g,25g,79g,548.43mg,8g
861,Pumpkin and date muffins,12,https://img.taste.com.au/dy8SJyA7/w720-h480-cfill-q80/taste/2019/01/pumpkin-and-date-muffins-146340-2.jpg,1004 kj (240cal),4.6g,9.4g,33.1g,179mg,3.6g
862,Cheesy garlic damper pull-apart with bacon chilli jam,12,https://img.taste.com.au/gbfxW8A7/w720-h480-cfill-q80/taste/2017/12/cheesy-garlic-damper-pull-apart-with-bacon-chilli-jam_1980x1320-133926-1.jpg,944 kj (226cal),11.2g,10.6g,21.4g,519.3mg,0.2g
863,Lamb shanks with Middle Eastern flavours,6,https://img.taste.com.au/ZuqucI2o/w720-h480-cfill-q80/taste/2016/11/lamb-shanks-with-middle-eastern-flavours-60448-1.jpeg,3922 kj (937cal),64.7g,48.7g,56.8g,810mg,5.7g
864,Barbecue chicken with carrot-zucchini slaw,4,https://img.taste.com.au/6xJncdUc/w720-h480-cfill-q80/taste/2016/11/barbecue-chicken-with-carrot-zucchini-slaw-91782-1.jpeg,8690 kj (2077cal),111.8g,39.0g,404.2g,1.1g,111.7g
865,Red hot shot,2,https://img.taste.com.au/xXGZ7qh2/w720-h480-cfill-q80/taste/2016/11/red-hot-shot-6525-1.jpeg,185 kj (44cal),1.7g,0.4g,10.1g,474.4mg,2.4g
866,Gingerbread men,30,https://img.taste.com.au/s5tEG-yY/w720-h480-cfill-q80/taste/2016/11/gingerbread-men-105496-1.jpeg,497 kj (119cal),2g,4g,18g,,1g
867,Rich dark chocolate and stout fruit cake,20,https://img.taste.com.au/-aG--i8t/w720-h480-cfill-q80/taste/2016/11/rich-dark-chocolate-and-stout-fruit-cake-101541-1.jpeg,1767 kj (422cal),4.8g,18.4g,60.0g,79.4mg,3.5g
868,Boston baked beans,6,https://img.taste.com.au/RLU6pQ_z/w720-h480-cfill-q80/taste/2016/11/boston-baked-beans-84625-1.jpeg,1202 kj (287cal),11.1g,9.3g,44.1g,472.5mg,6.9g
