,foodname,serving,image,calories,protein,fat,carb,sodium,fibre
0,Easiest-ever fried rice,4,https://content.api.news/v3/images/bin/640b9032c71e6a71154a4b0e2af7454c,2272 kj (543cal),26.8g,8.7g,87.4g,357.1mg,5.6g
1,Cheesy French onion meatballs and mushrooms,4,https://img.taste.com.au/gJ9jKwKI/w720-h480-cfill-q80/taste/2023/02/cheesy-french-onion-meatballs-and-mushrooms-184637-2.jpg,3138 kj (750cal),35.9g,49.4g,39.0g,1.2g,3.8g
2,Mexican bento box,2 lunchboxes,https://img.taste.com.au/9839vdTQ/w720-h480-cfill-q80/taste/2016/11/mexican-bento-box-101821-1.jpeg,1660 kj (397cal),19.8g,21.6g,27.7g,736mg,6.1g
3,Thai chicken lettuce cups with avocado and lime,4,https://img.taste.com.au/fqti94HE/w720-h480-cfill-q80/taste/2016/11/thai-chicken-lettuce-cups-with-avocado-and-lime-90356-1.jpeg,4775 kj (1141cal),83.5g,56.8g,80.9g,3.3g,15.1g
4,Oven-baked mushroom risotto with pesto,6,https://img.taste.com.au/-botctrO/w720-h480-cfill-q80/taste/2019/04/oven-baked-mushroom-risotto-with-pesto-149034-2.jpg,2685 kj (642cal),15.2g,31.4g,69.8g,195.8mg,7.2g
5,Zucchini fritters with mint yoghurt,08m,https://img.taste.com.au/gnvLBPtM/w720-h480-cfill-q80/taste/2016/11/zucchini-fritters-with-mint-yoghurt-37516-1.jpeg,1235 kj (295cal),13.4g,16.8g,20g,387mg,4.3g
6,Tomato-tofu salad with creamy ginger dressing,4,https://img.taste.com.au/AWH3XZcf/w720-h480-cfill-q80/taste/2016/11/tomato-tofu-salad-with-creamy-ginger-dressing-100344-1.jpeg,1367 kj (327cal),8.1g,27.2g,16.0g,494mg,5.0g
7,Porcupine meatballs with cheesy toasts,6,https://img.taste.com.au/0CrkvbQC/w720-h480-cfill-q80/taste/2016/11/porcupine-meatballs-with-cheesy-toasts-66806-1.jpeg,2356 kj (563cal),46.3g,22.3g,40.2g,568.1mg,2.5g
8,Corned beef with horseradish bearnaise,6,https://img.taste.com.au/XJyr-fer/w720-h480-cfill-q80/taste/2016/11/corned-beef-with-horseradish-bearnaise-47958-1.jpeg,1710 kj (409cal),31.7g,28.5g,6.3g,448.1mg,1.2g
9,Fish tacos,4,https://img.taste.com.au/4ExGBlo1/w720-h480-cfill-q80/taste/2016/11/fish-tacos-95173-1.jpeg,2032 kj (486cal),23.8g,28.4g,36.8g,413.5mg,5.2g
10,Pork tostadas with avocado salsa,4,https://img.taste.com.au/LrG-_YCn/w720-h480-cfill-q80/taste/2016/11/pork-tostadas-with-avocado-salsa-87514-1.jpeg,2796 kj (668cal),40.5g,29.9g,57.1g,433mg,8.2g
11,Vanilla bean panna cotta recipe,6,https://img.taste.com.au/gKeWh6b4/w720-h480-cfill-q80/taste/2016/11/vanilla-bean-panna-cotta-26199-1.jpeg,1255 kj (300cal),4.5g,21.3g,24.0g,48mg,
12,Thai grilled beef and eggplant salad,4,https://img.taste.com.au/rlNZbOx0/w720-h480-cfill-q80/taste/2016/11/thai-grilled-beef-and-eggplant-salad-103125-1.jpeg,1962 kj (469cal),29.8g,18.5g,45.5g,669.7mg,3.1g
13,Pork tray bake with mustard nut butter,4,https://img.taste.com.au/fYc0tnu6/w720-h480-cfill-q80/taste/2017/06/pork-tray-bake-127182-1.jpg,3012 kj (720cal),34.1g,49.8g,30.1g,258mg,9.3g
14,Quail egg and pancetta pies,6,https://img.taste.com.au/84AJbmZX/w720-h480-cfill-q80/taste/2016/11/quail-egg-and-pancetta-pies-45618-1.jpeg,1981 kj (473cal),11.8g,29.0g,46.8g,306.6mg,0.2g
15,South Indian pumpkin &amp; coconut soup,4,https://img.taste.com.au/FVXGNSUl/w720-h480-cfill-q80/taste/2016/11/south-indian-pumpkin-coconut-soup-3555-1.jpeg,7930 kj (1895cal),17.6g,90.4g,252.5g,8.5g,22.3g
16,Rigatoni Bolognaise,4,https://img.taste.com.au/WWgoAYvT/w720-h480-cfill-q80/taste/2016/11/rigatoni-bolognaise-56733-1.jpeg,3954 kj (945cal),46.1g,45.4g,87.5g,1.1g,7.3g
17,Red wine-poached quince cobbler with honey ice-cream,8,https://img.taste.com.au/8NOZnP6w/w720-h480-cfill-q80/taste/2019/06/red-wine-poached-quince-cobbler-with-honey-ice-cream-150846-1.jpg,2378 kj (568cal),6.8g,14.4g,105.3g,340.5mg,4.4g
18,Samurai chicken stir-fry,4,https://img.taste.com.au/dvmvKA_a/w720-h480-cfill-q80/taste/2019/02/samurai-chicken-stir-fry-147573-2.jpg,1353 kj (323cal),35.3g,13.7g,15.8g,1.9g,3.9g
19,"Baby beet, lamb and spinach salad",4,https://img.taste.com.au/jRfxqKzj/w720-h480-cfill-q80/taste/2016/11/baby-beet-lamb-and-spinach-salad-30347-1.jpeg,1948 kj (466cal),32.2g,34.1g,8.6g,432.8mg,1.2g
20,Steak with polenta and black peppercorn sauce,4,https://img.taste.com.au/YhW8uX1c/w720-h480-cfill-q80/taste/2016/11/steak-with-polenta-and-black-peppercorn-sauce-8382-1.jpeg,2889 kj (690cal),39.7g,44.1g,29.1g,390mg,1.8g
21,Chicken baked in limoncello with zucchini 'spaghetti',4,https://img.taste.com.au/5BewsqUE/w720-h480-cfill-q80/taste/2016/11/chicken-baked-in-limoncello-with-zucchini-spaghetti-8645-1.jpeg,3396 kj (812cal),32.2g,43.1g,43.7g,100.4mg,6.4g
22,Tiramisu,4,https://img.taste.com.au/sRjVD-gy/w720-h480-cfill-q80/taste/2016/11/tiramisu-4906-1.jpeg,2493 kj (596cal),11.3g,33.8g,53.6g,156.7mg,0.4g
23,Our favourite caesar salad recipe,4,https://img.taste.com.au/J6WbLwTn/w720-h480-cfill-q80/taste/2016/11/caesar-salad-29418-1.jpeg,1931 kj (462cal),12.7g,39.8g,15.0g,630.7mg,5.0g
24,Moroccan sweet potato bake,4,https://img.taste.com.au/60-GHgi6/w720-h480-cfill-q80/taste/2016/11/moroccan-sweet-potato-bake-103243-1.jpeg,2652 kj (634cal),17.2g,23.5g,91.3g,313.1mg,12.4g
25,Tex Mex pasta salad,4,https://img.taste.com.au/w2wwaHD8/w720-h480-cfill-q80/taste/2020/09/tex-mex-burrito-pasta-salad-165553-1.jpg,2075 kj (496cal),18.4g,8.4g,87.8g,718.2mg,12.0g
26,Mixed bean and peas tomato casserole,4,https://img.taste.com.au/aPmllJfe/w720-h480-cfill-q80/taste/2018/05/mixed-bean-and-peas-tomato-casserole-137334-1.jpg,4687 kj (1120cal),55.3g,17.3g,178.8g,553.8mg,49.8g
27,Honey ricotta crepes with orange sauce,4,https://img.taste.com.au/EwiHaiGH/w720-h480-cfill-q80/taste/2016/11/honey-ricotta-crepes-with-orange-sauce-22153-1.jpeg,1322 kj (316cal),14.1g,9.2g,43.8g,124.6mg,3.0g
28,Pappardelle with hazelnut and parsley pesto,4,https://img.taste.com.au/lmkpXFTU/w720-h480-cfill-q80/taste/2016/11/pappardelle-with-hazelnut-and-parsley-pesto-92415-1.jpeg,3657 kj (874cal),23.6g,47.2g,91.5g,531.7mg,7.1g
29,Peach splash cocktail,6,https://img.taste.com.au/mpsVw5_1/w720-h480-cfill-q80/taste/2016/11/peach-splash-cocktail-11341-1.jpeg,1932 kj (462cal),0.5g,0.2g,62.8g,2.8mg,0.7g
30,Honeycomb semifreddo with strawberries,8,https://img.taste.com.au/sosTE0Im/w720-h480-cfill-q80/taste/2016/11/honeycomb-semifreddo-with-strawberries-32750-1.jpeg,1682 kj (402cal),3.6g,30.9g,27.2g,62.9mg,1.6g
31,Choc mousse tart with berries and port glaze,8,https://img.taste.com.au/dfqMipUS/w720-h480-cfill-q80/taste/2016/11/choc-mousse-tart-with-berries-and-port-glaze-92001-1.jpeg,735 kj (176cal),2.7g,5.6g,29.8g,66.7mg,5.5g
32,The ultimate breakfast toastie,2,https://img.taste.com.au/lP95iKaZ/w720-h480-cfill-q80/taste/2018/02/the-ultimate-toastie-135783-2.jpg,7243 kj (1731cal),109.1g,79.3g,145.8g,4.5g,29.8g
33,Avocado and white chocolate ice-cream,1L,https://img.taste.com.au/QUduRrwX/w720-h480-cfill-q80/taste/2016/11/avocado-and-white-chocolate-ice-cream-92047-1.jpeg,1790 kj (428cal),4g,32.4g,33.9g,52mg,3.4g
34,Chorizo and borlotti bean soup,6,https://img.taste.com.au/Ui0PhaGA/w720-h480-cfill-q80/taste/2016/11/chorizo-and-borlotti-bean-soup-4799-1.jpeg,1012 kj (242cal),13.0g,6.1g,29.8g,1.2g,10.3g
35,Spring chicken with flageolet beans and pancetta,8,https://img.taste.com.au/J4zNjS_B/w720-h480-cfill-q80/taste/2016/11/spring-chicken-with-flageolet-beans-and-pancetta-12240-1.jpeg,2164 kj (517cal),39.2g,30.7g,18.0g,300.3mg,5.8g
36,Summer berry cheesecake,12,https://img.taste.com.au/ss8xvQ4y/w720-h480-cfill-q80/taste/2016/11/summer-berry-cheesecake-85414-1.jpeg,3037 kj (726cal),9g,59g,41g,396.21mg,
37,"Spanish potato, chorizo &amp; herb tortilla",6,https://img.taste.com.au/69ex9aFg/w720-h480-cfill-q80/taste/2016/11/spanish-potato-chorizo-herb-tortilla-94112-1.jpeg,968 kj (231cal),11.6g,12.0g,19.7g,352.2mg,2.3g
38,Hot spiced apple cider,4,https://img.taste.com.au/MahM9PIy/w720-h480-cfill-q80/taste/2016/11/hot-spiced-apple-cider-34995-1.jpeg,687 kj (164cal),0.3g,0.4g,38.7g,6.6mg,1.7g
39,"French toast with tomatoes, mushrooms and pesto",4,https://img.taste.com.au/gr8DPGC8/w720-h480-cfill-q80/taste/2016/11/french-toast-with-tomatoes-mushrooms-and-pesto-80213-1.jpeg,1295 kj (310cal),10.9g,17.8g,26.6g,462.4mg,2.6g
40,Apple and prosciutto chicken,4,https://img.taste.com.au/BruzegLP/w720-h480-cfill-q80/taste/2016/11/apple-and-prosciutto-chicken-21253-1.jpeg,8063 kj (1927cal),224.6g,89.9g,43.0g,2.8g,7.2g
41,Roasted pastrami rubbed beef with fennel and leeks,6,https://img.taste.com.au/SkpxMbLw/w720-h480-cfill-q80/taste/2020/07/roasted-pastrami-rubbed-beef-with-fennel-and-leeks-163597-2.jpg,2148 kj (513cal),31.0g,38.7g,10.3g,131.8mg,1.7g
42,Healthier lemon and coconut slice,20,https://content.api.news/v3/images/bin/9e812785c6b542422d9fab5c9baeeb20,760 kj (182cal),4g,10g,18g,,2g
43,Fennel and udon noodle salad,4,https://img.taste.com.au/EwRvgkK7/w720-h480-cfill-q80/taste/2016/11/fennel-and-udon-noodle-salad-56484-1.jpeg,1740 kj (416cal),10.5g,16.0g,56.1g,23.5mg,3.9g
44,Fruit tea cream,4,https://img.taste.com.au/xmwxUxhG/w720-h480-cfill-q80/taste/2016/11/fruit-tea-cream-10433-1.jpeg,5552 kj (1327cal),14.4g,59.6g,195.2g,49mg,5.8g
45,Hot spiced apple cider,4,https://img.taste.com.au/MahM9PIy/w720-h480-cfill-q80/taste/2016/11/hot-spiced-apple-cider-34995-1.jpeg,687 kj (164cal),0.3g,0.4g,38.7g,6.6mg,1.7g
46,"French toast with tomatoes, mushrooms and pesto",4,https://img.taste.com.au/gr8DPGC8/w720-h480-cfill-q80/taste/2016/11/french-toast-with-tomatoes-mushrooms-and-pesto-80213-1.jpeg,1295 kj (310cal),10.9g,17.8g,26.6g,462.4mg,2.6g
47,Apple and prosciutto chicken,4,https://img.taste.com.au/BruzegLP/w720-h480-cfill-q80/taste/2016/11/apple-and-prosciutto-chicken-21253-1.jpeg,8063 kj (1927cal),224.6g,89.9g,43.0g,2.8g,7.2g
48,Roasted pastrami rubbed beef with fennel and leeks,6,https://img.taste.com.au/SkpxMbLw/w720-h480-cfill-q80/taste/2020/07/roasted-pastrami-rubbed-beef-with-fennel-and-leeks-163597-2.jpg,2148 kj (513cal),31.0g,38.7g,10.3g,131.8mg,1.7g
49,Healthier lemon and coconut slice,20,https://content.api.news/v3/images/bin/9e812785c6b542422d9fab5c9baeeb20,760 kj (182cal),4g,10g,18g,,2g
50,Fennel and udon noodle salad,4,https://img.taste.com.au/EwRvgkK7/w720-h480-cfill-q80/taste/2016/11/fennel-and-udon-noodle-salad-56484-1.jpeg,1740 kj (416cal),10.5g,16.0g,56.1g,23.5mg,3.9g
51,Fruit tea cream,4,https://img.taste.com.au/xmwxUxhG/w720-h480-cfill-q80/taste/2016/11/fruit-tea-cream-10433-1.jpeg,5552 kj (1327cal),14.4g,59.6g,195.2g,49mg,5.8g
52,Fish parcels with shallots,4,https://img.taste.com.au/eaFOnYcr/w720-h480-cfill-q80/taste/2016/11/fish-parcels-with-shallots-78412-1.jpeg,602 kj (144cal),27.1g,2.5g,3.6g,448.3mg,0.6g
53,Pork and strawberry salad,4,https://img.taste.com.au/LBCQjDmN/w720-h480-cfill-q80/taste/2016/11/pork-and-strawberry-salad-86399-1.jpeg,1345 kj (321cal),26.1g,18.9g,11.3g,117mg,2.3g
54,Rosemary chicken skewers with lemon salt,4,https://img.taste.com.au/p1Bl2GAs/w720-h480-cfill-q80/taste/2016/11/rosemary-85631-2.jpeg,1788 kj (427cal),53.7g,20.8g,4.1g,345.2mg,2.3g
55,Satay chicken burgers,4,https://img.taste.com.au/FuDpWzGJ/w720-h480-cfill-q80/taste/2016/11/satay-chicken-burgers-13280-1.jpeg,2060 kj (492cal),28.4g,25.5g,36.6g,724.6mg,2.8g
56,Roasted cauliflower salad with poblano chillies and chickpeas,4,https://img.taste.com.au/qNBvRnhr/w720-h480-cfill-q80/taste/2020/08/september20_roasted-cauliflower-salad-with-poblano-chillies-and-chickpeas-taste-164297-1.jpg,2558 kj (611cal),12.0g,51.7g,29.7g,495.2mg,8.1g
57,Carrot and sunflower seed muffins with lemon icing,12,https://img.taste.com.au/-9TreMHh/w720-h480-cfill-q80/taste/2016/11/carrot-and-sunflower-seed-muffins-with-lemon-icing-17074-1.jpeg,918 kj (219cal),3.4g,7.2g,40.8g,159.5mg,2.0g
58,Spanish pear tarts with pedro ximenez syrup,6,https://img.taste.com.au/hkizj6Y0/w720-h480-cfill-q80/taste/2016/11/spanish-pear-tarts-with-pedro-ximenez-syrup-79965-1.jpeg,3187 kj (762cal),9.1g,36.0g,86.3g,57.7mg,5.7g
59,Patchy bear bikkies,15m,https://img.taste.com.au/T3_2ryId/w720-h480-cfill-q80/taste/2016/11/patchy-bear-bikkies-28053-1.jpeg,1115 kj (266cal),3g,14g,32g,,1g
60,Surf and turf rissole traybake,4,https://img.taste.com.au/bggdxzQN/w720-h480-cfill-q80/taste/2021/01/surf-and-turf-rissole-traybake-168857-3.jpg,4379 kj (1047cal),53.5g,76.8g,34.4g,983.5mg,4.4g
61,Swordfish with capsicum &amp; macadamia pesto,6,https://img.taste.com.au/THRgYABH/w720-h480-cfill-q80/taste/2016/11/swordfish-with-capsicum-macadamia-pesto-7432-1.jpeg,3595 kj (859cal),44.9g,43.1g,64.6g,470.4mg,4.6g
62,Sticky Hawaiian chicken,4,https://img.taste.com.au/spobk1Yq/w720-h480-cfill-q80/taste/2016/11/sticky-hawaiian-chicken-102178-1.jpeg,3010 kj (719cal),33.5g,14.5g,39.1g,2.9g,4.0g
63,Warm sausage salad,4,https://img.taste.com.au/rk_wLRO_/w720-h480-cfill-q80/taste/2016/11/warm-sausage-salad-13097-1.jpeg,1901 kj (454cal),22.4g,19.1g,48.6g,68.5mg,4.4g
64,Prawn fried rice,4,https://img.taste.com.au/rmlZDnwo/w720-h480-cfill-q80/taste/2018/06/june-18_prawn-fried-rice-138280-1.jpg,1509 kj (361cal),17.2g,10.7g,47.2g,428.6mg,2.8g
65,Japanese sticky salmon,6,https://content.api.news/v3/images/bin/1e9e2793e50046afe26b2eac2d696802,2205 kj (527cal),31.2g,24.9g,48.1g,1.2g,5.1g
66,Curried beef and pappadam nachos,4,https://img.taste.com.au/nSfZXAgz/w720-h480-cfill-q80/taste/2016/11/curried-beef-and-pappadam-nachos-97621-1.jpeg,3210 kj (767cal),44.9g,40.8g,53.6g,674.4mg,8.7g
67,Quick-cook puds orange &amp; raisin puddings,4,https://img.taste.com.au/zzD3o30k/w720-h480-cfill-q80/taste/2016/11/quick-cook-puds-orange-raisin-puddings-80163-1.jpeg,3415 kj (816cal),10.9g,36.7g,115.8g,606.4mg,3.5g
68,Satay beef steak with cucumber salad,4,https://img.taste.com.au/OAXfDr1U/w720-h480-cfill-q80/taste/2016/11/satay-beef-steak-with-cucumber-salad-78928-1.jpeg,1182 kj (283cal),34.5g,12.2g,9.6g,290.7mg,1.3g
69,Portuguese chicken,6,https://img.taste.com.au/oYvZulZ_/w720-h480-cfill-q80/taste/2017/02/portuguese-chicken-1980x1320-121375-1.jpg,2395 kj (572cal),44.7g,28.0g,35.3g,313.3mg,2.9g
70,Chocolate peanut butter crunch cookies,12,https://img.taste.com.au/IWKxGjyS/w720-h480-cfill-q80/taste/2016/11/chocolate-peanut-butter-crunch-cookies-106073-1.jpeg,1125 kj (269cal),5.5g,14.6g,31.3g,281.2mg,2.2g
71,Cranberry and pecan stuffed turkey,8,https://img.taste.com.au/lKC7pF1m/w720-h480-cfill-q80/taste/2018/11/cranberry-and-pecan-stuffed-turkey-144108-2.jpg,2867 kj (685cal),76.1g,29.9g,25.1g,312mg,2.4g
72,Mandarin jellies with cardamom cream,6,https://img.taste.com.au/sdF4McvI/w720-h480-cfill-q80/taste/2016/11/mandarin-jellies-with-cardamom-cream-31001-1.jpeg,2086 kj (499cal),8.3g,21.8g,71.7g,50.9mg,3.5g
73,Chicken katsu curry,4,https://img.taste.com.au/q7dbMm3c/w720-h480-cfill-q80/taste/2016/11/chicken-katsu-curry-100876-1.jpeg,3141 kj (751cal),23.0g,31.1g,90.9g,1.2g,6.8g
74,Chicken chow mein tray bake,4,https://img.taste.com.au/aMN70t_V/w720-h480-cfill-q80/taste/2018/05/chicken-chow-mein-tray-bake-138091-1.jpg,3743 kj (895cal),52.5g,44.3g,67.9g,2.2g,4.3g
75,Chargrilled vegetable pizza,4,https://img.taste.com.au/-24Uvicq/w720-h480-cfill-q80/taste/2016/11/chargrilled-vegetable-pizza-110183-1.jpeg,1571 kj (375cal),20.4g,5.6g,68.0g,816.6mg,13.6g
76,Baked coconut and coriander fish,4,https://img.taste.com.au/mbAElxhs/w720-h480-cfill-q80/taste/2016/11/baked-coconut-and-coriander-fish-77454-1.jpeg,1859 kj (444cal),23.5g,8.8g,68.0g,473.9mg,3.0g
77,Beef and hokkien noodle stir-fry,4,https://img.taste.com.au/b_-ntUHt/w720-h480-cfill-q80/taste/2016/11/beef-and-hokkien-noodle-stir-fry-30137-1.jpeg,3222 kj (770cal),52.4g,31.1g,68.1g,1.7g,1.2g
78,Egg and leek breakfast tarts,6,https://img.taste.com.au/gfdFenH3/w720-h480-cfill-q80/taste/2016/11/egg-and-leek-breakfast-tarts-107620-1.jpeg,5365 kj (1282cal),45.6g,97.7g,51.6g,1.9g,3.3g
79,Lemon &amp; ginger cake with honey icing,8,https://img.taste.com.au/F9KKfKs1/w720-h480-cfill-q80/taste/2016/11/lemon-ginger-cake-with-honey-icing-22194-1.jpeg,2748 kj (657cal),10.4g,37.2g,72.8g,606.4mg,1.9g
80,Asparagus with poached egg,4,https://img.taste.com.au/c--jRPgv/w720-h480-cfill-q80/taste/2016/11/asparagus-with-poached-egg-76482-1.jpeg,488 kj (117cal),10.9g,6.1g,5.9g,171.7mg,2.9g
81,Asian-style salmon patties with crunchy slaw,4,https://content.api.news/v3/images/bin/df6adcc783652ca1223957594fe1095a,1649 kj (394cal),27.9g,26.2g,14.3g,2.1g,3.6g
82,Sticky fig tart,8,https://img.taste.com.au/bGFweH5O/w720-h480-cfill-q80/taste/2016/11/sticky-fig-tart-30190-1.jpeg,3106 kj (742cal),6.8g,45.2g,74.1g,303.9mg,1.6g
83,Sour cream coffee cake,9,https://img.taste.com.au/zjNgrTIe/w720-h480-cfill-q80/taste/2023/06/sour-cream-coffee-cake-recipe-187401-1.jpg,2053 kj (491cal),6.1g,24.5g,62.3g,327.2mg,1.2g
84,Sausage pasty,4,https://img.taste.com.au/R_ghrlrX/w720-h480-cfill-q80/taste/2016/11/sausage-pasty-6750-1.jpeg,4360 kj (1042cal),41.1g,74.1g,49.0g,1.8g,3.2g
85,DIY steak sandwiches with aioli,4,https://img.taste.com.au/81U6mR0_/w720-h480-cfill-q80/taste/2016/11/diy-steak-sandwiches-with-aioli-28183-1.jpeg,3538 kj (846cal),47.4g,40.0g,74.1g,997.4mg,15.7g
86,Five-bean salad with egg,4,https://img.taste.com.au/4Pt1kJga/w720-h480-cfill-q80/taste/2016/11/five-bean-salad-with-egg-8525-1.jpeg,1313 kj (314cal),16g,17g,18g,369.69mg,13g
87,Red onion and polenta skillet bread,6,https://img.taste.com.au/IMeR49-l/w720-h480-cfill-q80/taste/2016/11/red-onion-and-polenta-skillet-bread-73721-1.jpeg,994 kj (238cal),8.5g,11.8g,23.9g,227.2mg,1.2g
88,Crab cakes with dill mayonnaise,8,https://img.taste.com.au/xW5dsZw5/w720-h480-cfill-q80/taste/2016/11/crab-cakes-with-dill-mayonnaise-71599-1.jpeg,2423 kj (579cal),7.8g,46.9g,33.3g,739mg,2.8g
89,Martha's mango coconut cream tart,10,https://img.taste.com.au/IVCj9kG9/w720-h480-cfill-q80/taste/2016/11/marthas-mango-coconut-cream-tart-67783-1.jpeg,2395 kj (572cal),5.7g,37.8g,54.2g,166.5mg,1.8g
90,"Broccoli, bacon and quinoa fritter slice",4,https://img.taste.com.au/MqMcjYpK/w720-h480-cfill-q80/taste/2018/09/broccoli-bacon-and-quinoa-fritter-slice-141080-2.jpg,1483 kj (354cal),22.4g,12.1g,42.7g,651.5mg,9.0g
91,Spicy honey lime chicken bake,4,https://img.taste.com.au/PWx92rHp/w720-h480-cfill-q80/taste/2016/11/spicy-honey-lime-chicken-bake-105084-1.jpeg,1316 kj (315cal),27.2g,12.4g,25.6g,764.9mg,3.6g
92,Oven-braised savoury steak,4,https://img.taste.com.au/Kezpsrrt/w720-h480-cfill-q80/taste/2010/01/easy-savoury-steak-recipe-198591-1.jpg,1728 kj (413cal),34.6g,18.7g,23.2g,1.1g,1.3g
93,Vegan stuffed roast pumpkin,6,https://img.taste.com.au/ajJYOLGV/w720-h480-cfill-q80/taste/2020/10/christmas-stuffed-roasted-pumpkin-166235-1.jpg,971 kj (232cal),8.8g,6.2g,38.8g,44.5mg,11.2g
94,Mexican street salad,4,https://img.taste.com.au/OsN0JzVK/w720-h480-cfill-q80/taste/2017/10/mexican-street-salad-132038-1.jpg,2474 kj (591cal),45g,26g,36g,,15g
95,Tuna &amp; ginger noodle salad,4,https://img.taste.com.au/yjBdtmeK/w720-h480-cfill-q80/taste/2016/11/tuna-ginger-noodle-salad-14979-1.jpeg,1501 kj (359cal),31.0g,9.2g,41.8g,712.7mg,1.6g
96,Boston baked beans,4,https://img.taste.com.au/6wVcf4P8/w720-h480-cfill-q80/taste/2016/11/boston-baked-beans-63881-1.jpeg,3715 kj (888cal),49.3g,17.7g,119.9g,964.9mg,29.3g
97,Lip-smacking lamb with mint bread sauce,4,https://img.taste.com.au/WuUiwiL3/w720-h480-cfill-q80/taste/2016/11/lip-smacking-lamb-with-mint-bread-sauce-98303-1.jpeg,3895 kj (931cal),37.1g,71.7g,36.9g,262.6mg,6.2g
98,Cheat's Turkish pizzas,4,https://img.taste.com.au/hRzwxF4C/w720-h480-cfill-q80/taste/2020/01/cheats-turkish-pizzas-158033-2.jpg,2415 kj (577cal),26.6g,34.4g,39.2g,669.9mg,4.2g
99,Lindor dumplings,4,https://img.taste.com.au/D_dnMOtQ/w720-h480-cfill-q80/taste/2018/06/lindor-dumplings-138201-1.jpg,2862 kj (684cal),9.0g,33.0g,88.4g,173.7mg,1.1g
100,Chicken nuggets with mustard sauce,4,https://img.taste.com.au/h3pD-lbE/w720-h480-cfill-q80/taste/2016/11/chicken-nuggets-with-mustard-sauce-21370-1.jpeg,1592 kj (380cal),36.7g,8.7g,36.5g,618mg,2.2g
101,Apple tarte tatin,8,https://img.taste.com.au/hJqwOXqJ/w720-h480-cfill-q80/taste/2018/03/apr-18_apple-tarte-tatin-3000x2000-136234-1.jpg,1323 kj (316cal),3.7g,15.3g,40.7g,180.4mg,2.6g
102,Traditional plum pudding,12,https://img.taste.com.au/vegzPpOH/w720-h480-cfill-q80/taste/2016/11/traditional-plum-pudding-24952-1.jpeg,2434 kj (582cal),7.0g,20.7g,86.8g,217.5mg,3.6g
103,Lamb sausage pilaf,4,https://img.taste.com.au/0A1SJdu7/w720-h480-cfill-q80/taste/2016/11/lamb-sausage-pilaf-27966-1.jpeg,2588 kj (619cal),30.5g,23.8g,69.9g,718.2mg,4.2g
104,Beef and lemon grass stir-fry,4,https://img.taste.com.au/iKIP_joo/w720-h480-cfill-q80/taste/2016/11/beef-and-lemon-grass-stir-fry-6388-1.jpeg,1891 kj (452cal),34.0g,6.2g,63.9g,668.2mg,3.4g
105,Grilled corn and chorizo salad,6,https://img.taste.com.au/AN-4xpPH/w720-h480-cfill-q80/taste/2016/11/grilled-corn-and-chorizo-salad-86655-1.jpeg,1385 kj (331cal),10.3g,28.2g,10.6g,605.1mg,2.3g
106,Mexican pancakes,4,https://img.taste.com.au/COWcssXJ/w720-h480-cfill-q80/taste/2016/11/mexican-pancakes-96937-1.jpeg,2535 kj (606cal),25.7g,37.0g,40.9g,887.9mg,3.5g
107,Fig tarte fine,4,https://img.taste.com.au/RZZkrFHm/w720-h480-cfill-q80/taste/2016/11/fig-tarte-fine-102717-1.jpeg,1098 kj (262cal),4.4g,13.3g,32.2g,110.8mg,2.7g
108,Baby salmon with saffron and fennel pilaf,10,https://img.taste.com.au/pL6vxt-T/w720-h480-cfill-q80/taste/2016/11/baby-salmon-with-saffron-and-fennel-pilaf-5521-1.jpeg,3299 kj (788cal),74.7g,46.6g,17.5g,254.8mg,0.8g
109,Slow cooker Mongolian lamb shanks,4,https://img.taste.com.au/KQUNMFtp/w720-h480-cfill-q80/taste/2019/03/slow-cooker-mongolian-lamb-shanks-148119-2.jpg,3371 kj (806cal),58.2g,45.3g,38.7g,1.4g,1.6g
110,Passionfruit &amp; white chocolate mousse with shortbread hearts,2,https://img.taste.com.au/cVgfe0ig/w720-h480-cfill-q80/taste/2016/11/passionfruit-white-chocolate-mousse-with-shortbread-hearts-27480-1.jpeg,6591 kj (1575cal),20.1g,95.2g,160.3g,197.8mg,2.7g
111,Vegan sweet potato noodles with crispy kale,4,https://img.taste.com.au/H0e-dDFn/w720-h480-cfill-q80/taste/2017/09/plant-based-perfection-131097-2.jpg,845 kj (202cal),6.5g,4.4g,38.0g,111.3mg,8.1g
112,Mango lassi,8,https://img.taste.com.au/C0rnReSI/w720-h480-cfill-q80/taste/2016/11/mango-lassi-31273-1.jpeg,427 kj (102cal),3.6g,3.2g,17.1g,32.4mg,0.9g
113,Tuscan tomato &amp; bread soup,4,https://img.taste.com.au/CFERvoM9/w720-h480-cfill-q80/taste/2016/11/tuscan-tomato-bread-soup-75132-1.jpeg,758 kj (181cal),3.5g,9.5g,18.5g,489.1mg,3.7g
114,Pork bulgogi,4,https://img.taste.com.au/MBBmn_e0/w720-h480-cfill-q80/taste/2020/03/bulgogi-159415-1.jpg,2722 kj (651cal),35.9g,21.5g,75.5g,1.7g,5.4g
115,Lamb patties with pita bread and tzatziki,4,https://img.taste.com.au/bmaVohAs/w720-h480-cfill-q80/taste/2016/11/lamb-patties-with-pita-bread-and-tzatziki-69039-1.jpeg,2485 kj (594cal),33.5g,27.2g,49.5g,732mg,3.0g
