name,link,ingredients,steps,nutrition,image_url
Cape Cod,https://www.allrecipes.com/recipe/14889/cape-cod/,"{'quantity': '', 'unit': '', 'name': 'ice cubes'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'cranberry juice'}, {'quantity': '1', 'unit': 'wedge', 'name': 'lime'}","Place ice in a short tumbler or old fashioned glass; pour in vodka and cranberry juice. Squeeze lime wedge into drink, then add it to the glass. Serve.",,https://www.allrecipes.com/thmb/w-RU_UuE-9hHS3RRinlzDn9zM7Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/14889cape-codFranceCx3-d37fc9a709274d4eb9a3c62cb42f61ca.jpg
How Well Do You Know Booze?,https://www.allrecipes.com/article/booze-history-quiz/,,,,
Kombucha Margarita,https://www.allrecipes.com/recipe/8516214/kombucha-margarita/,"{'quantity': '2', 'unit': 'cups', 'name': 'ice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'silver tequila'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'triple sec (orange-flavored liqueur)'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'freshly squeezed lime juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coarse salt, or as needed'}, {'quantity': '', 'unit': '', 'name': '1 lime wedge'}, {'quantity': '3', 'unit': 'ounces', 'name': 'citrus flavored kombucha, or your favorite flavor'}","Fill a cocktail shaker half-full with ice. Add tequila, triple sec, and lime juice to the shaker. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Sprinkle salt onto a plate. Moisten the rim of a glass with the lime wedge. Press the moistened rim into the salt. Fill glass with ice.. Strain margarita into the glass and top with kombucha. Stir gently and garnish with lime wedge, if desired.","calories: 227, fat: 0g, carbs: 14g, protein: 0g, servings: 1",https://www.allrecipes.com/thmb/vUpUCmrwxqU-3CsAV4PzL9fbF4Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1670192914IMG_4842202-2000-c0a8603e404b4f0199398281d3a0a812.jpg
Blood Orange Margarita,https://www.allrecipes.com/recipe/8516193/blood-orange-margarita/,"{'quantity': '½', 'unit': 'fluid ounce', 'name': 'tequila (such as Reposado®)'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'triple sec (orange-flavored liqueur)'}, {'quantity': '2 ½', 'unit': 'fluid ounces', 'name': 'blood orange sparkling water'}, {'quantity': '1', 'unit': '', 'name': 'blood orange, juiced'}, {'quantity': '½', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '', 'unit': '', 'name': 'ice cubes'}","Combine tequila, triple sec, sparkling water, blood orange juice, and lime juice in a cocktail shaker. Fill with ice .. Shake well and strain into chilled margarita glasses.","calories: 101, fat: 0g, carbs: 12g, protein: 0g, servings: 2",https://www.allrecipes.com/thmb/oxIKDfL_82XZEZ2iKhxgYEn8dd4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/blood-orange-margarita-4x3-1-2bee19f117fa41eeba9d73a35e8f419d.jpg
Grand Marnier vs. Triple Sec vs. Cointreau: What's the Difference?,https://www.allrecipes.com/article/grand-marnier-vs-triple-sec-vs-cointreau/,,,,https://www.allrecipes.com/thmb/M2jKvee68Ep34UZTPvC5FLOB4dg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/grand-marnier-84498aeb0a8e42e3aaa04a0c7b4f5d84.jpg
Big Batch Freezer Dirty Martini,https://www.allrecipes.com/recipe/8482689/big-batch-freezer-dirty-martini/,"{'quantity': '1', 'unit': 'liter', 'name': 'vodka'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'vermouth'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'olive brine'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'water'}, {'quantity': '', 'unit': '', 'name': 'olives for garnish'}","Pour 6 ounces of vodka from the bottle and set aside for another use.. To the reserved vodka in the bottle, add vermouth, brine, and water. Put the top on the bottle and invert bottle to incorporate the ingredients.. Place bottle in the freezer for at least 4 hours and up to 2 months.. To serve, pour desired amount into chilled glass and garnish with olives.","calories: 295, carbs: 2g, servings: 8",https://cdn.jwplayer.com/v2/media/XmWxY8oH/poster.jpg?width=720
Cape Codder Cocktail,https://www.allrecipes.com/recipe/221308/cape-codder-cocktail/,"{'quantity': '1', 'unit': 'cup', 'name': 'ice cubes'}, {'quantity': '5', 'unit': 'fluid ounces', 'name': 'cranberry juice'}, {'quantity': '1 ½', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '1', 'unit': '', 'name': 'lime wedge for garnish'}",Fill a highball glass with ice and pour in cranberry juice and vodka. Stir and garnish with a lime wedge.,"calories: 202, fat: 0g, carbs: 28g, protein: 1g, servings: 1",https://cdn.jwplayer.com/v2/media/1CL6cdp9/poster.jpg?width=720
What Is Campari?,https://www.allrecipes.com/article/what-is-campari/,,,,https://www.allrecipes.com/thmb/a4agOaJogEP3evbL3ZCci-gZPS0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/negroni-cocktail-photo-by-getty-images-469e2a1481214953a8ed755064e47d0d.jpg
Pineapple Margarita,https://www.allrecipes.com/recipe/8496235/pineapple-margarita/,"{'quantity': '2', 'unit': 'cups', 'name': 'ice, or as needed'}, {'quantity': '3', 'unit': 'fluid ounces', 'name': 'pineapple juice'}, {'quantity': '2', 'unit': 'fluid ounces', 'name': 'silver tequila'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'triple sec'}, {'quantity': '¾', 'unit': 'fluid ounce', 'name': 'freshly squeezed lime juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coarse salt, or as needed'}, {'quantity': '', 'unit': '', 'name': '2 lime wedges'}, {'quantity': '', 'unit': '', 'name': 'pineapple wedge for garnish (optional)'}","Fill a cocktail shaker half-full with ice. Add pineapple juice, tequila, triple sec, and lime juice to the shaker. Seal and shake vigorously until outside is frosted, 10 to 15 seconds.. Sprinkle salt onto a plate. Moisten the rim of a glass with a lime wedge. Press the moistened rim into the salt. Fill glass with ice.. Strain margarita into the glass and garnish with pineapple and lime wedge, if desired.","calories: 266, fat: 0g, carbs: 24g, protein: 1g, servings: 1",https://www.allrecipes.com/thmb/nHF2ZSuHiG_8gEbS0B90aOQ3r6c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Pineapple-Margarita-2000-53f0fb077cb14838b23ed52b8db4203d.jpg
Party Punch IV,https://www.allrecipes.com/recipe/32446/party-punch-iv/,"{'quantity': '1', 'unit': '(16 ounce) can', 'name': 'frozen pineapple juice concentrate'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'frozen orange juice concentrate'}, {'quantity': '12', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '2', 'unit': '(2 liter) bottles', 'name': 'lemon-lime flavored carbonated beverage, chilled'}, {'quantity': '1', 'unit': '(4 ounce) jar', 'name': 'maraschino cherries'}, {'quantity': '4', 'unit': '', 'name': 'oranges, sliced into rounds'}, {'quantity': '2', 'unit': 'trays', 'name': 'ice cubes'}","In a punch bowl, combine pineapple juice concentrate, orange juice concentrate and vodka. Pour in lemon-lime soda. Float cherries and orange slices on top. Add ice before serving.",,https://www.allrecipes.com/thmb/Wxb2kB8UsJJ-BNZ86Ca5BdS5TRM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2910744-4359d06a31fb43a59bef30b70f340e4c.jpg
